area,gps_size,grid_py_par,grid_py,grid_qgis,grid_pg_qgis,gps_py_par,gps_py,gps_qgis,gps_pg_qgis,trans_py_par,trans_py,trans_qgis,trans_pg_qgis,sptl_py_par,sptl_py,sptl_qgis,sptl_pg_qgis,rast_py_par,rast_py,rast_qgis,rast_pg_qgis,total_py_par,total_py,total_qgis,total_pg_qgis
100,5,0.00,0.00,78.12,78.12,0.00,0.00,0.00,45.40,3.69,2.42,217.78,0.00,342.09,488.74,1138.49,250.00,0.05,0.06,250.11,30.91,345.82,491.22,1684.50,404.43
225,5,0.00,0.00,163.92,163.92,0.00,0.00,0.00,74.61,2.43,2.41,201.68,0.00,405.16,551.03,2453.64,212.00,0.10,0.10,212.20,97.09,407.69,553.53,3031.44,547.62
400,5,0.00,0.00,299.04,299.04,0.00,0.00,0.00,48.62,2.40,2.42,193.10,0.00,471.39,595.27,4280.93,243.00,0.18,0.17,243.35,228.52,473.97,597.86,5016.42,819.18
625,5,0.00,0.00,466.16,466.16,0.00,0.00,0.00,68.65,2.45,2.53,191.77,0.00,515.21,619.5396,6650.97,286.00,0.28,0.30,286.59,489.57,517.94,622.38,7595.48,1310.38
900,5,0.00,0.00,705.82,705.82,0.00,0.00,0.00,68.81,2.44,2.39,192.71,0.00,537.61,634.73,9512.32,317.00,0.40,0.36,317.76,954.01,540.45,637.49,10728.61,2045.64
225,10,0.00,0.00,163.92,163.92,0.00,0.00,0.00,138.92,4.81,4.81,434.62,0.00,740.04,1010.54,2566.66,435.00,0.10,0.10,435.20,97.66,744.95,1015.45,3600.40,835.50
400,10,0.00,0.00,299.04,299.04,0.00,0.00,0.00,143.57,4.83,4.84,423.13,0.00,841.06,1073.21,4414.06,486.00,0.18,0.17,486.35,228.47,846.07,1078.22,5622.58,1157.07
625,10,0.00,0.00,466.16,466.16,0.00,0.00,0.00,135.32,4.88,4.81,422.35,0.00,882.97,1110.23,6780.51,405.00,0.26,0.27,405.53,504.17,888.11,1115.31,8074.56,1510.65
900,10,0.00,0.00,705.82,705.82,0.00,0.00,0.00,151.75,4.84,5.00,421.40,0.00,914.91,1143.25,9629.10,409.00,0.45,0.38,409.83,939.12,920.20,1148.63,11166.16,2205.69
225,11,0.00,0.00,163.92,163.92,0.00,0.00,0.00,152.28,5.25,5.28,489.56,0.00,837.00,1104.69,2590.03,511.00,0.10,0.09,511.20,97.53,842.36,1110.06,3754.70,924.73
400,15,0.00,0.00,299.04,299.04,0.00,0.00,0.00,230.95,7.40,7.20,656.76,0.00,1190.66,1524.12,4511.16,740.00,0.32,0.16,740.48,225.77,1198.38,1531.47,6207.44,1495.75
625,15,0.00,0.00,466.16,466.16,0.00,0.00,0.00,201.29,7.17,7.18,665.42,0.00,1240.18,1571.47,6938.74,599.00,0.29,0.25,599.54,486.73,1247.64,1578.90,8669.86,1753.19
900,15,0.00,0.00,705.82,705.82,0.00,0.00,0.00,214.72,7.48,7.18,664.13,0.00,1288.51,1612.22,9778.96,632.00,0.91,0.38,633.29,943.46,1296.89,1619.79,11782.19,2496.00
625,18,0.00,0.00,466.16,466.16,0.00,0.00,0.00,210.27,9.05,8.62,792.23,0.00,1502.09,1846.44,6815.24,724.00,1.17,0.27,725.44,478.87,1512.31,1855.33,8799.06,1879.30
900,20,0.00,0.00,705.82,705.82,0.00,0.00,0.00,275.64,9.99,9.65,883.79,0.00,1739.07,2053.36,9948.90,870.00,2.03,0.36,872.39,955.61,1751.09,2063.37,12410.89,2807.07
